,name,year,genre,description,director,stars
322,National Treasure,2004,"
Action, Adventure, Mystery            ",A historian races to find the legendary Templar Treasure before a team of mercenaries.,Jon Turteltaub,"Nicolas Cage ,Diane Kruger ,Justin Bartha"
323,Saw,2004,"
Horror, Mystery, Thriller            ","Two strangers awaken in a room with no recollection of how they got there, and soon discover they're pawns in a deadly game perpetrated by a notorious serial killer.",James Wan,"Cary Elwes ,Leigh Whannell ,Danny Glover"
324,Shaun of the Dead,2004,"
Comedy, Horror            ","The uneventful, aimless lives of a London electronics salesman and his layabout roommate are disrupted by the zombie apocalypse.",Edgar Wright,"Simon Pegg ,Nick Frost ,Kate Ashfield"
325,Speak,2004,"
Drama            ","After a blurred trauma over the summer, Melinda enters high school a selective mute. Struggling with school, friends, and family, she tells the dark tale of her experiences, and why she has chosen not to speak.",Jessica Sharzer,"Kristen Stewart ,Elizabeth Perkins ,Richard Hagerman"
326,Spider-Man 2,2004,"
Action, Adventure, Sci-Fi            ",Peter Parker is beset with troubles in his failing personal life as he battles a former brilliant scientist named Otto Octavius.,Sam Raimi,"Tobey Maguire ,Kirsten Dunst ,Alfred Molina"
327,"Swades: We, the People",2004,"
Drama, Musical            ",A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.,Ashutosh Gowariker,"Shah Rukh Khan ,Gayatri Joshi ,Kishori Ballal"
328,Suwingu gâruzu,2004,"
Comedy, Drama, Music            ","A tale of delinquent and lazy school girls. In their efforts to cut remedial summer math class, they end up vitiating and replacing the schools brass band.",Shinobu Yaguchi,"Juri Ueno ,Yûta Hiraoka ,Shihori Kanjiya"
329,Taking Lives,2004,"
Crime, Mystery, Thriller            ",An FBI profiler is called in by French Canadian police to catch a serial killer who takes on the identity of each new victim.,D.J. Caruso,"Angelina Jolie ,Ethan Hawke ,Kiefer Sutherland"
330,The Aviator,2004,"
Biography, Drama            ",A biopic depicting the early years of legendary director and aviator Howard Hughes' career from the late 1920s to the mid 1940s.,Martin Scorsese,"Leonardo DiCaprio ,Cate Blanchett ,Kate Beckinsale"
331,The Bourne Supremacy,2004,"
Action, Mystery, Thriller            ","When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive.",Paul Greengrass,"Matt Damon ,Franka Potente ,Joan Allen"
332,The Butterfly Effect,2004,"
Drama, Sci-Fi, Thriller            ","Evan Treborn suffers blackouts during significant events of his life. As he grows up, he finds a way to remember these lost memories and a supernatural way to alter his life by reading his journal.",Eric Bress,"J. Mackye Gruber ,Ashton Kutcher ,Amy Smart"
333,The Grudge,2004,"
Horror, Mystery, Thriller            ","An American nurse living and working in Tokyo is exposed to a mysterious supernatural curse, one that locks a person in a powerful rage before claiming their life and spreading to another victim.",Takashi Shimizu,"Sarah Michelle Gellar ,Jason Behr ,Clea DuVall"
334,The Incredibles,2004,"
Animation, Action, Adventure            ","While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.",Brad Bird,"Craig T. Nelson ,Samuel L. Jackson ,Holly Hunter"
335,The Notebook,2004,"
Drama, Romance            ",An elderly man reads to a woman with dementia the story of two young lovers whose romance is threatened by the difference in their respective social classes.,Nick Cassavetes,"Gena Rowlands ,James Garner ,Rachel McAdams"
336,The Passion of the Christ,2004,"
Drama            ","Depicts the final twelve hours in the life of Jesus of Nazareth, on the day of his crucifixion in Jerusalem.",Mel Gibson,"Jim Caviezel ,Monica Bellucci ,Maia Morgenstern"
337,The Terminal,2004,"
Comedy, Drama, Romance            ","An Eastern European tourist unexpectedly finds himself stranded in JFK airport, and must take up temporary residence there.",Steven Spielberg,"Tom Hanks ,Catherine Zeta-Jones ,Chi McBride"
338,The Village,2004,"
Drama, Mystery, Thriller            ",A series of events tests the beliefs of a small isolated countryside village.,M. Night Shyamalan,"Sigourney Weaver ,William Hurt ,Joaquin Phoenix"
339,Troy,2004,"
Drama            ","An adaptation of Homer's great epic, the film follows the assault on Troy by the united Greek forces and chronicles the fates of the men involved.",Wolfgang Petersen,"Brad Pitt ,Eric Bana ,Orlando Bloom"
340,Wimbledon,2004,"
Comedy, Romance, Sport            ","A pro tennis player has lost his ambition and has fallen in rank to 119. Fortunately for him, he meets a young player on the women's circuit who helps him recapture his focus for Wimbledon.",Richard Loncraine,"Kirsten Dunst ,Paul Bettany ,Jon Favreau"
341,Nae yeojachingureul sogae habnida,2004,"
Comedy, Crime, Drama            ","The heart-warming romance story between Kyungjin and Myungwoo. Even though he has passed away, he will be always with Kyungwoo forever.",Jae-young Kwak,"Jun Ji-hyun ,Jang Hyuk ,Kim Soo-ro"
342,Anniyan,2005,"
Action, Crime, Drama            ","Ramanujam, who suffers from multiple personality disorder, works as a lawyer by day and a vigilante at night, using tips from the 'Garuda Purana' as his tools to punish various antisocial elements.",S. Shankar,"Vikram ,Sada ,Prakash Raj"
343,Batman Begins,2005,"
Action, Crime, Drama            ","After witnessing his parents' death, Bruce learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city.",Christopher Nolan,"Christian Bale ,Michael Caine ,Ken Watanabe"
344,Bewitched,2005,"
Comedy, Fantasy, Romance            ","Thinking he can overshadow an unknown actress in the part, an egocentric actor unknowingly gets a witch cast in an upcoming television remake of the classic sitcom Bewitched (1964).",Nora Ephron,"Nicole Kidman ,Will Ferrell ,Shirley MacLaine"
345,Chaos,II) (2005,"
Action, Crime, Drama            ","Two cops, a rookie and a grizzled vet, pursue an accomplished bank robber.",Tony Giglio,"Jason Statham ,Ryan Phillippe ,Wesley Snipes"
346,Charlie and the Chocolate Factory,2005,"
Adventure, Comedy, Family            ","Charlie, a young boy from an impoverished family, and four other kids win a tour of an amazing chocolate factory run by an imaginative chocolatier, Willy Wonka, and his staff of Oompa-Loompas.",Tim Burton,"Johnny Depp ,Freddie Highmore ,David Kelly"
347,Constantine,2005,"
Action, Fantasy, Horror            ","Supernatural exorcist and demonologist John Constantine helps a policewoman prove her sister's death was not a suicide, but something more.",Francis Lawrence,"Keanu Reeves ,Rachel Weisz ,Djimon Hounsou"
348,Corpse Bride,2005,"
Animation, Drama, Family            ","When a shy groom practices his wedding vows in the inadvertent presence of a deceased young woman, she rises from the grave assuming he has married her.",Tim Burton,"Mike Johnson ,Johnny Depp ,Helena Bonham Carter"
349,Flightplan,2005,"
Drama, Mystery, Thriller            ","A bereaved woman and her daughter are flying home from Berlin to America. At 30,000 feet, the child vanishes, and nobody will admit she was ever on the plane.",Robert Schwentke,"Jodie Foster ,Peter Sarsgaard ,Sean Bean"
350,Gone Baby Gone,2007,"
Crime, Drama, Mystery            ","Two Boston area detectives investigate a little girl's kidnapping, which ultimately turns into a crisis both professionally and personally.",Ben Affleck,"Morgan Freeman ,Ed Harris ,Casey Affleck"
351,Harry Potter and the Goblet of Fire,2005,"
Adventure, Family, Fantasy            ","Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.",Mike Newell,"Daniel Radcliffe ,Emma Watson ,Rupert Grint"
352,Hostel,2005,"
Horror            ","Three backpackers head to a Slovak city that promises to meet their hedonistic expectations, with no idea of the hell that awaits them.",Eli Roth,"Jay Hernandez ,Derek Richardson ,Eythor Gudjonsson"
353,King Kong,2005,"
Action, Adventure, Romance            ","A greedy film producer assembles a team of moviemakers and sets out for the infamous Skull Island, where they find more than just cannibalistic natives.",Peter Jackson,"Naomi Watts ,Jack Black ,Adrien Brody"
354,Lord of War,2005,"
Crime, Drama            ",An arms dealer confronts the morality of his work as he is being chased by an INTERPOL Agent.,Andrew Niccol,"Nicolas Cage ,Ethan Hawke ,Jared Leto"
355,Madagascar,2005,"
Animation, Adventure, Comedy            ","A group of animals who have spent all their life in a New York zoo end up in the jungles of Madagascar, and must adjust to living in the wild.",Eric Darnell,"Tom McGrath ,Chris Rock ,Ben Stiller"
356,Memoirs of a Geisha,2005,"
Drama, Romance            ","The heartwarming tale of Nitta Sayuri, a young Japanese woman who transcended from her fishing-village roots and became one of Japan's most celebrated geisha.",Rob Marshall,"Ziyi Zhang ,Ken Watanabe ,Michelle Yeoh"
357,Mr. & Mrs. Smith,2005,"
Action, Comedy, Crime            ",A bored married couple is surprised to learn that they are both assassins hired by competing agencies to kill each other.,Doug Liman,"Brad Pitt ,Angelina Jolie ,Adam Brody"
358,Nanny McPhee,2005,"
Comedy, Family, Fantasy            ",A governess uses magic to rein in the behavior of seven ne'er-do-well children in her charge.,Kirk Jones,"Emma Thompson ,Colin Firth ,Angela Lansbury"
359,Pride & Prejudice,2005,"
Drama, Romance            ","Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class. Can each overcome their own pride and prejudice?",Joe Wright,"Keira Knightley ,Matthew Macfadyen ,Brenda Blethyn"
360,Rama Shama Bhama,2005,"
Comedy            ","Must watch for who loves comedy in simple track Rama had best life with his wife.once he went to buy a new flat , he falls in love with priya. After they went to goa trip , Rama faces a lot of troubles",Ramesh Aravind,"Kamal Haasan ,Ramesh Aravind ,Urvashi"
361,Revolver,2005,"
Action, Crime, Drama            ",Gambler Jake Green enters into a game with potentially deadly consequences.,Guy Ritchie,"Jason Statham ,Ray Liotta ,André 3000"
362,Serenity,2005,"
Action, Adventure, Sci-Fi            ",The crew of the ship Serenity try to evade an assassin sent to recapture telepath River.,Joss Whedon,"Nathan Fillion ,Gina Torres ,Chiwetel Ejiofor"
363,The 40 Year Old Virgin,2005,"
Comedy, Romance            ","Goaded by his buddies, a nerdy guy who's never ""done the deed"" only finds the pressure mounting when he meets a single mother.",Judd Apatow,"Steve Carell ,Catherine Keener ,Paul Rudd"
364,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,"
Adventure, Family, Fantasy            ","While playing, Lucy and her siblings find a wardrobe that lands them in a mystical place called Narnia. Here they realize that it was fated and they must now unite with Aslan to defeat an evil queen.",Andrew Adamson,"Tilda Swinton ,Georgie Henley ,William Moseley"
365,The Descent,2005,"
Adventure, Horror, Thriller            ","A caving expedition goes horribly wrong, as the explorers become trapped and ultimately pursued by a strange breed of predators.",Neil Marshall,"Shauna Macdonald ,Natalie Mendoza ,Alex Reid"
366,The Devil's Rejects,2005,"
Crime, Drama, Horror            ","The murderous, backwoods Firefly family take to the road to escape the vengeful Sheriff Wydell, who is not afraid of being as ruthless as his target.",Rob Zombie,"Sid Haig ,Sheri Moon Zombie ,Bill Moseley"
367,The Exorcism of Emily Rose,2005,"
Drama, Horror, Thriller            ",A lawyer takes on a negligent homicide case involving a priest who performed an exorcism on a young girl.,Scott Derrickson,"Laura Linney ,Tom Wilkinson ,Shohreh Aghdashloo"
368,The Hitchhiker's Guide to the Galaxy,2005,"
Adventure, Comedy, Sci-Fi            ","Mere seconds before the Earth is to be demolished by an alien construction crew, journeyman Arthur Dent is swept off the planet by his friend Ford Prefect, a researcher penning a new edition of ""The Hitchhiker's Guide to the Galaxy.""",Garth Jennings,"Martin Freeman ,Yasiin Bey ,Sam Rockwell"
369,The Island,2005,"
Action, Sci-Fi, Thriller            ","A man living in a futuristic sterile colony begins to question his circumscribed existence when his friend is chosen to go to the Island, the last uncontaminated place on earth.",Michael Bay,"Scarlett Johansson ,Ewan McGregor ,Djimon Hounsou"
370,The Jacket,2005,"
Drama, Fantasy, Mystery            ","A Gulf war veteran is wrongly sent to a mental institution for insane criminals, where he becomes the object of a doctor's experiments, and his life is completely affected by them.",John Maybury,"Adrien Brody ,Keira Knightley ,Daniel Craig"
